Entity,Year,Other renewables (TWh),Biofuels (TWh),Solar (TWh),Wind (TWh),Hydropower (TWh),Nuclear (TWh),Gas (TWh),Oil (TWh),Coal (TWh),Traditional biomass (TWh)
World,1800,0,0,0,0,0,0,0,0,97,5556
World,1810,0,0,0,0,0,0,0,0,128,5833
World,1820,0,0,0,0,0,0,0,0,153,6111
World,1830,0,0,0,0,0,0,0,0,264,6389
World,1840,0,0,0,0,0,0,0,0,356,6944
World,1850,0,0,0,0,0,0,0,0,569,7222
World,1860,0,0,0,0,0,0,0,0,1061,6944
World,1870,0,0,0,0,0,0,0,6,1642,6944
World,1880,0,0,0,0,0,0,0,33,2542,6944
World,1890,0,0,0,0,38.88888931,0,33,89,3856,6667
World,1900,0,0,0,0,47.22222137,0,64,181,5728,6111
World,1910,0,0,0,0,91.66666412,0,142,397,8656,6389
World,1920,0,0,0,0,177.777771,0,233,889,9833,6944
World,1930,0,0,0,0,363.8888855,0,603,1756,10125,7222
World,1940,0,0,0,0,533.333313,0,875,2653,11586,7222
World,1950,0,0,0,0,925,0,2092,5444,12603,7500
World,1960,0,0,0,0,1913.888916,0,4472,11097,15442,8889
World,1965,55.94908524,9.02986145,0,0,2729.886475,72.46934509,6303.798828,17989.60352,16140.17871,9162
World,1966,61.73760605,9.209843636,0,0,2909.135986,97.70497131,6868.794434,19341.14648,16324.09375,9218
World,1967,62.35337448,9.38371563,0,0,2973.969238,116.3551788,7374.039551,20732.13672,16060.80957,9274
World,1968,69.03191376,9.553799629,0,0,3132.305176,147.8718872,8044.331543,22488.33203,16301.14648,9331
World,1969,72.55871582,9.723980904,0,0,3316.980469,175.3113403,8833.417969,24353,16798.73633,9387
World,1970,80.33794403,11.0390625,0,0,3473.426514,223.8080139,9614.791992,26505.18359,17058.60742,9444
World,1971,87.33906555,11.64955807,0,0,3628.941895,311.2872314,10293.2002,27994.79688,16965.77734,9499
World,1972,93.40202332,12.94693279,0,0,3798.634033,431.7992554,10861.72363,30112.26367,17158.63672,9553
World,1973,100.2463074,12.5866394,0,0,3852.995117,578.5737305,11377.83789,32534.80664,17667.84961,9608
World,1974,106.872963,12.16781425,0,0,4232.136719,756.4817505,11659.86523,32078.17969,17682.05078,9663
World,1975,108.1472015,11.48027992,0,0,4284.33252,1049.449707,11659.74121,31715.76953,18024.53711,9718
World,1976,120.5710602,11.86993122,0,0,4267.339355,1227.711548,12354.14355,33752.46484,18688.48438,9774
World,1977,127.2666321,15.85667896,0,0,4410.858887,1528.137451,12759.84277,34928.13672,19241.30078,9830
World,1978,135.026825,20.97179222,0,0.008861111,4773.710938,1775.700928,13293.95215,36509.91797,19457.9043,9886
World,1979,144.5155182,26.00082588,0,0.017749999,5012.646973,1846.824585,14118.03223,37064.56641,20363.53906,9943
World,1980,153.7885742,29.85854721,0,0.031048333,5120.46875,2020.095581,14236.96094,35514.42188,20857.60938,10000
World,1981,164.9075775,27.29734802,0,0.031048333,5230.628418,2385.642822,14395.87402,34251.57031,21149.67969,10106
World,1982,191.2328949,35.22252274,0,0.054704163,5325.265625,2588.317383,14469.73535,33185.26953,21385.45117,10213
World,1983,211.7705841,44.50929642,0.008861111,0.096974447,5552.54248,2933.458984,14703.83301,32937.60547,22046.3457,10321
World,1984,236.3206482,53.71253204,0.018666666,0.132341668,5740.620117,3559.856689,15902.68066,33680.05469,23001.08008,10430
World,1985,244.3552246,63.57527924,0.034737218,0.189898327,5854.193848,4224.837402,16262.22168,33660.10156,23987.82813,10541
