Entity,Year,Fossil by continent
Africa,1965,674.3026733
Africa,1966,703.2786865
Africa,1967,708.9625244
Africa,1968,743.4017334
Africa,1969,756.0577393
Africa,1970,810.0494995
Africa,1971,874.9830322
Africa,1972,919.5540771
Africa,1973,998.1819458
Africa,1974,1037.964355
Africa,1975,1101.123535
Africa,1976,1194.635986
Africa,1977,1255.098877
Africa,1978,1307.366455
Africa,1979,1427.028442
Africa,1980,1547.709839
Africa,1981,1748.151733
Africa,1982,1873.136597
Africa,1983,1949.073608
Africa,1984,2004.552734
Africa,1985,2073.100586
Africa,1986,2107.220459
Africa,1987,2193.772705
Africa,1988,2334.873535
Africa,1989,2331.018311
Africa,1990,2418.726563
Africa,1991,2404.102783
Africa,1992,2450.625977
Africa,1993,2464.43457
Africa,1994,2548.1604
Africa,1995,2650.496338
Africa,1996,2713.391113
Africa,1997,2765.767822
Africa,1998,2799.884521
Africa,1999,2884.590332
Africa,2000,2940.939209
Africa,2001,3043.226563
Africa,2002,3084.193359
Africa,2003,3253.369873
Africa,2004,3488.740967
Africa,2005,3501.773193
Africa,2006,3571.256104
Africa,2007,3706.443604
Africa,2008,3940.738037
Africa,2009,4002.838867
Africa,2010,4111.786621
Africa,2011,4141.99707
Africa,2012,4312.087402
Africa,2013,4421.347656
Africa,2014,4529.459473
Africa,2015,4643.543457
Africa,2016,4767.708984
Africa,2017,4866.901367
Africa,2018,4964.652344
Africa,2019,5043.08252
Africa,2020,4704.925781
Africa,2021,4996.097656
Africa (BP),1965,674.3026733
Africa (BP),1966,703.2786865
Africa (BP),1967,708.9625244
Africa (BP),1968,743.4017334
Africa (BP),1969,756.0578003
Africa (BP),1970,810.0494995
Africa (BP),1971,874.9830322
Africa (BP),1972,919.5540771
Africa (BP),1973,998.1819458
Africa (BP),1974,1037.964355
Africa (BP),1975,1101.123535
Africa (BP),1976,1194.635986
Africa (BP),1977,1255.098877
Africa (BP),1978,1307.366455
Africa (BP),1979,1427.028442
Africa (BP),1980,1547.709839
Africa (BP),1981,1748.151855
Africa (BP),1982,1873.136597
Africa (BP),1983,1949.073486
Africa (BP),1984,2004.552734
Africa (BP),1985,2073.100586
Africa (BP),1986,2107.220459
Africa (BP),1987,2193.772705
Africa (BP),1988,2334.873535
Africa (BP),1989,2331.018311
Africa (BP),1990,2418.726563
Africa (BP),1991,2404.102783
Africa (BP),1992,2450.625977
Africa (BP),1993,2464.43457
Africa (BP),1994,2548.1604
Africa (BP),1995,2650.496338
Africa (BP),1996,2713.391113
Africa (BP),1997,2765.767578
Africa (BP),1998,2799.884277
Africa (BP),1999,2884.590332
Africa (BP),2000,2940.939209
Africa (BP),2001,3043.226563
Africa (BP),2002,3084.193359
Africa (BP),2003,3253.370117
Africa (BP),2004,3488.740723
Africa (BP),2005,3501.773438
