Entity,Year,Temperature Anomaly
World,1880,-0.12
World,1881,-0.08
World,1882,-0.09
World,1883,-0.17
World,1884,-0.26
World,1885,-0.25
World,1886,-0.23
World,1887,-0.28
World,1888,-0.13
World,1889,-0.08
World,1890,-0.34
World,1891,-0.25
World,1892,-0.3
World,1893,-0.32
World,1894,-0.31
World,1895,-0.24
World,1896,-0.09
World,1897,-0.09
World,1898,-0.27
World,1899,-0.15
World,1900,-0.07
World,1901,-0.15
World,1902,-0.26
World,1903,-0.37
World,1904,-0.45
World,1905,-0.27
World,1906,-0.2
World,1907,-0.38
World,1908,-0.43
World,1909,-0.44
World,1910,-0.4
World,1911,-0.44
World,1912,-0.34
World,1913,-0.32
World,1914,-0.14
World,1915,-0.09
World,1916,-0.33
World,1917,-0.4
World,1918,-0.31
World,1919,-0.25
World,1920,-0.23
World,1921,-0.16
World,1922,-0.25
World,1923,-0.25
World,1924,-0.24
World,1925,-0.18
World,1926,-0.08
World,1927,-0.17
World,1928,-0.18
World,1929,-0.32
World,1930,-0.11
World,1931,-0.06
World,1932,-0.13
World,1933,-0.26
World,1934,-0.11
World,1935,-0.15
World,1936,-0.12
World,1937,-0.01
World,1938,-0.02
World,1939,0.01
World,1940,0.16
World,1941,0.27
World,1942,0.11
World,1943,0.11
World,1944,0.28
World,1945,0.18
World,1946,-0.01
World,1947,-0.03
World,1948,-0.05
World,1949,-0.07
World,1950,-0.15
World,1951,0
World,1952,0.04
World,1953,0.13
World,1954,-0.1
World,1955,-0.13
World,1956,-0.18
World,1957,0.07
World,1958,0.12
World,1959,0.08
World,1960,0.05
World,1961,0.09
World,1962,0.1
World,1963,0.12
World,1964,-0.14
World,1965,-0.07
World,1966,-0.01
World,1967,0
World,1968,-0.03
World,1969,0.1
World,1970,0.06
World,1971,-0.07
World,1972,0.04
World,1973,0.19
World,1974,-0.06
World,1975,0.01
World,1976,-0.07
World,1977,0.21
World,1978,0.12
World,1979,0.23
World,1980,0.28
World,1981,0.32
World,1982,0.19
World,1983,0.36
World,1984,0.17
World,1985,0.16
World,1986,0.24
World,1987,0.38
World,1988,0.39
World,1989,0.29
World,1990,0.45
World,1991,0.39
World,1992,0.24
World,1993,0.28
World,1994,0.34
World,1995,0.47
World,1996,0.32
World,1997,0.51
World,1998,0.65
World,1999,0.44
World,2000,0.42
World,2001,0.57
World,2002,0.62
World,2003,0.64
World,2004,0.58
World,2005,0.67
World,2006,0.63
World,2007,0.62
World,2008,0.54
World,2009,0.64
World,2010,0.72
World,2011,0.57
World,2012,0.63
World,2013,0.67
World,2014,0.74
World,2015,0.93
World,2016,0.99
World,2017,0.9
World,2018,0.82
World,2019,0.94
World,2020,0.98
World,2021,0.84
